Electricity Load [kwh],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
10.350306470193523,4.168389244507457,0.3238547299984514,0.0,0.75,0.75
10.350306470193523,3.5628647861239626,0.4209606386522949,0.0,1.25,1.25
10.350306470193523,2.579949714877042,0.27550408140893745,0.0,2.625,2.625
10.350306470193523,4.753492652438769,0.4098995235075938,0.0,4.875,4.875
10.350306470193523,4.231409526514931,0.3813297228473179,0.0,4.75,4.75
10.350306470193523,3.005595820922746,0.24453085150474543,0.0,4.0,4.0
13.134080232505159,4.588148558811161,0.4093784970474211,0.0,2.125,2.125
13.322606911852002,3.633927481339283,0.41830069474007303,0.006375,0.375,0.375
13.214024868975144,2.628323772153529,0.2759443205066485,0.03825,0.625,0.625
13.115021137828638,5.0273779475196045,0.40877685804369696,0.0031875,1.625,1.625
12.942679587659974,3.524722851244193,0.4155730925461535,0.0433125,2.0,2.0
12.933047904492726,1.4244472041485976,0.5437555859649947,0.2679375,2.625,2.625
12.933047904492726,0.0,0.0,0.53625,3.0,3.0
12.933047904492726,0.0,0.0,0.7421875,3.0,3.0
12.933047904492726,0.0,0.0,0.728125,2.375,2.375
12.95938195646979,0.0,0.0,0.64275,3.25,3.25
13.071561603931302,0.0,0.0,0.3978125,3.375,3.375
13.292795209133207,0.0,0.0,0.029625,3.0,3.0
10.611742008136241,0.0,0.0,0.0,3.0,3.0
10.350306470193523,2.296215229510386,1.111587730047938,0.0,3.0,3.0
10.350306470193523,2.636470868164367,0.8257299398892942,0.0,2.375,2.375
10.350306470193523,2.203469173584462,0.46480108903123724,0.0,2.0,2.0
10.350306470193523,4.076655621767951,0.5900286675014497,0.0,2.0,2.0
10.350306470193523,4.08248958806154,0.48112872784318556,0.0,2.0,2.0
13.442889942541491,3.099073000437799,0.31340520941685734,0.0,2.0,2.0
13.442889942541491,5.343354532419917,0.452454152221959,0.0,2.0,2.0
13.442889942541491,4.885378715176329,0.41518024379562213,0.0,1.375,1.375
13.442889942541491,3.34641075374612,0.26050488019396517,0.0,0.375,0.375
13.442889942541491,6.479184057899746,0.3838708920785813,0.0,1.25,1.25
13.442889942541491,34.409850293981734,4.012696396105646,0.0,0.75,0.75
18.336058690846233,101.5491200454472,2.7403948797598523,0.0,0.0,0.0
37.57011368343676,110.08630284990603,5.379288687246975,0.0025,0.625,0.625
88.4006901794374,63.96395243144308,7.565534486758412,0.0155625,1.0,1.0
78.63622389803605,50.32955744372978,8.258546394350567,0.0035,0.375,0.375
72.7300494030225,40.08625147224091,9.356324569042705,0.0001875,0.0,0.0
