Electricity Load [J],Heating Load [kwh],Cooling Load [kwh],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
27.33360029357292,98.19314742568679,0.0,0.0,1.9375,1.9375
25.47356514634371,110.56006066675369,0.0,0.0,2.5,2.5
24.54354757272914,109.63370376167859,0.0,0.0,2.1875,2.1875
24.07853878592184,109.89996477485246,0.0,0.0,2.0,2.0
26.577761125870513,112.23735622707709,0.0,0.0,2.0,2.0
33.53185673642541,110.89965640848548,0.0,0.0,2.0,2.0
43.10294645997117,104.92053195779333,0.0,0.0,2.0,2.0
49.89195004618607,102.14988146135167,0.0,0.0403125,2.0,2.0
47.771207156474944,83.5584681856359,0.0,0.23175,1.375,1.375
44.43247974066465,59.89434520914996,0.35325253329697376,0.387125,1.0,1.0
41.27589731427925,49.0124376876529,2.6155532318561865,0.39025,1.0,1.0
41.74090610108653,55.509588530614316,0.21637841044017248,0.0305625,1.0,1.0
41.27589731427925,51.24577669073934,0.5790230023596897,0.12,1.0,1.0
39.88087095385723,35.35948204847684,8.206617808480555,0.5690625,1.0,1.0
39.41586216704995,41.13383605683498,4.307706558529806,0.39625,1.625,1.625
41.919067864041736,56.96248317341692,0.1933496197896208,0.0296875,2.0,2.0
54.1715249169611,62.27602915932186,0.0,0.0,2.0,2.0
68.75300919567339,57.92166819140089,0.0,0.0,2.0,2.0
71.33876087219194,57.20819648390144,0.0,0.0,2.0,2.0
67.88736483844153,61.45897919306211,0.0,0.0,2.0,2.0
66.02732969121233,57.41711328571136,0.0,0.0,1.375,1.375
58.430063596181654,57.24982443563491,0.0,0.0,1.0,1.0
46.18270963307773,66.72511643166126,0.0,0.0,1.0,1.0
35.50854379335107,76.26805543348628,0.0,0.0,1.0,1.0
27.33360029357292,85.65435790183888,0.0,0.0,1.0,1.0
25.47356514634371,90.82369527564853,0.0,0.0,1.0,1.0
